feature,corr_with_label,abs_corr_with_label,mutual_info,f_classif,p_value_f_classif,score_combined
char_tfidf_80,-0.014306845896955099,0.014306845896955099,0.04335701770522671,0.09151330174209057,0.7624027648464624,0.5879469849485338
lex_ugc_hits,-0.25430733958689045,0.25430733958689045,0.04666428223928265,30.907329362456505,4.662164096422636e-08,0.5819271986766168
char_tfidf_30,-0.024443806560177278,0.024443806560177278,0.0,0.2672420336099777,0.6054435506579772,0.5567856352606321
word_tfidf_37,0.09249016788287885,0.09249016788287885,0.0,3.856823658752179,0.050163364132322794,0.5421273268827017
word_tfidf_75,0.005874821189156054,0.005874821189156054,0.004796331049326419,0.015428077707265167,0.9012049872851359,0.539858568655164
word_tfidf_63,-0.1575099576608307,0.1575099576608307,0.0,11.371926403123243,0.0008104477250940233,0.5267129967787615
char_tfidf_21,0.24554762038239145,0.24554762038239145,0.06146586264947884,28.68050628780827,1.368373176521517e-07,0.5161395363127922
char_tfidf_121,0.2411826816957194,0.2411826816957194,0.04588647568295956,27.607483500207707,2.3051206382552417e-07,0.5139618443715296
char_tfidf_79,-0.006184979840319913,0.006184979840319913,0.011509743781169979,0.017100181254342994,0.8960179359550453,0.4631253252650461
char_tfidf_127,-0.19716281864347723,0.19716281864347723,0.03479808121957695,18.079102288028,2.581763573366032e-05,0.45903831521632715
word_tfidf_85,0.029922965188059907,0.029922965188059907,0.01691772813233916,0.40059526553488634,0.5271056489369448,0.44162159462730793
char_tfidf_70,0.03050448692877424,0.03050448692877424,0.0,0.4163315104331379,0.5191042864824529,0.4369478954849449
word_tfidf_54,-0.09837228439619482,0.09837228439619482,0.0,4.367935509181664,0.037185905484988555,0.4234945231587663
word_tfidf_56,-0.16241816032717316,0.16241816032717316,0.0204092132676279,12.11119672266921,0.0005503891373298717,0.42289793983574836
lsa_19,-0.07793332777697483,0.07793332777697483,0.015028248021144108,2.7314907917892084,0.09908956350469629,0.41636039942964537
lsa_4,0.22215973295281202,0.22215973295281202,0.08344194211708333,23.20704369504693,1.9953603021917003e-06,0.4151856251323269
char_tfidf_28,-0.13414940252246832,0.13414940252246832,0.0,8.19165737778775,0.004405959717227247,0.4143663110808397
char_tfidf_8,0.19873982660895945,0.19873982660895945,0.013407812831867316,18.38141097351134,2.2166585248992702e-05,0.4128319631188495
char_tfidf_75,-0.05286624269847575,0.05286624269847575,0.0,1.2527946689961564,0.2636204651749508,0.38662819497653383
char_tfidf_82,0.02197222331772435,0.02197222331772435,0.01012961413789415,0.21590626801847207,0.6424032414096887,0.37986917030368206
char_tfidf_109,-0.04801247839556414,0.04801247839556414,0.005970698238098038,1.0328043611450533,0.31005065737663473,0.37537683786499293
char_tfidf_47,0.011572332236899616,0.011572332236899616,0.044313002941732904,0.05986975410034873,0.8068141975834477,0.36829859281043237
book_武动,0.10008751032966158,0.10008751032966158,0.01577530687054085,4.52313741970844,0.033986576487961884,0.36721114172188957
lsa_10,-0.221520118796653,0.221520118796653,0.012889508491668034,23.06672068657991,2.138701021230275e-06,0.3620293728668356
word_tfidf_52,-0.06691531155116821,0.06691531155116821,0.0,2.0105159418764367,0.15690890930835302,0.36155497227036126
char_tfidf_66,-0.13008083076936106,0.13008083076936106,0.0065947533183985385,7.69388548215517,0.005772752930513411,0.36142057183948717
char_tfidf_12,0.22177698754710537,0.22177698754710537,0.03622955064376354,23.123015666067687,2.079989365100341e-06,0.35706525718944765
char_tfidf_113,-0.012057346782962733,0.012057346782962733,0.0,0.06499413513789705,0.7988870986633587,0.35128613716372925
word_tfidf_64,-0.14972341157664656,0.14972341157664656,0.019598244990703284,10.250223984257564,0.0014641797133094511,0.34855026096837
char_tfidf_11,-0.059450054926467315,0.059450054926467315,0.004656116071573457,1.585439570140183,0.2086360295728754,0.3458500016404032
lex_poss_hits,0.16014324533458754,0.16014324533458754,0.01728862519557972,11.765433637196113,0.0006594100479414466,0.3384683745433213
word_tfidf_43,-0.23810556918371897,0.23810556918371897,0.042161897307473994,26.86545213208196,3.309607306999787e-07,0.3355901651570396
char_tfidf_65,-0.0633790553741233,0.0633790553741233,0.0018534306181239302,1.8027980509640984,0.18005601498170742,0.3313915575652441
char_tfidf_97,-0.13685004382683819,0.13685004382683819,0.011966226537859947,8.531157681679677,0.0036678664423626995,0.3278830769874416
char_tfidf_32,-0.09546705822872323,0.09546705822872323,0.013851380984121642,4.111410997574844,0.04318753276079125,0.326946839197215
char_tfidf_0,-0.10777130413906827,0.10777130413906827,0.010551191731421605,5.252759318142096,0.02237606426068056,0.32624570149241744
sentiment_sent_std,-0.12418438317044857,0.12418438317044857,0.01660423454483473,7.001502678584892,0.008431368189238345,0.3252600899846044
word_tfidf_76,0.03347334662470023,0.03347334662470023,0.0,0.5014096375295655,0.47925045828105894,0.3214650099103898
word_tfidf_20,0.004442664834306072,0.004442664834306072,0.0,0.008822734197682217,0.9252073179990827,0.31324026627631674
char_tfidf_76,0.0019809873363071198,0.0019809873363071198,0.0,0.0017541738234272553,0.9666107825633897,0.31175551045936456
